,Sector,Year,PJ
0,Basic metals,2005,139.68231975341
1,Construction,2005,5.911556125292405
2,Textiles,2005,74.23207026057602
3,Other (including electric components and electronics),2005,23.552449741065875
4,"Chemicals, petroleum and coal products",2005,334.43393860404876
5,Non-metallic metal products,2005,117.35852296305178
6,Transport equipment,2005,10.363360497024413
7,Machinery,2005,145.22245595561068
8,Mining,2005,2.9785058607309844
9,Food and tobaccoo products,2005,29.18264932810207
10,Pulp paper and printing,2005,50.48225627523175
11,Basic metals,2006,147.9043706665917
12,Construction,2006,5.3269338480877275
13,Textiles,2006,67.90261440321918
14,Other (including electric components and electronics),2006,23.42776376890698
15,"Chemicals, petroleum and coal products",2006,359.6918044469522
16,Non-metallic metal products,2006,119.04548658285772
17,Transport equipment,2006,10.018648195082896
18,Machinery,2006,156.22943572930956
19,Mining,2006,2.8796793363360615
20,Food and tobaccoo products,2006,28.12042859356632
21,Pulp paper and printing,2006,49.51300753532122
22,Basic metals,2007,146.97706674203027
23,Construction,2007,5.03706130936683
24,Textiles,2007,66.00024136271836
25,Other (including electric components and electronics),2007,24.171489920430815
26,"Chemicals, petroleum and coal products",2007,381.656535996637
27,Non-metallic metal products,2007,113.04202841348697
28,Transport equipment,2007,10.425544679564448
29,Machinery,2007,168.58076346283366
30,Mining,2007,2.9479413644388393
31,Food and tobaccoo products,2007,28.054646778696693
32,Pulp paper and printing,2007,49.10817312843631
33,Basic metals,2008,139.1204993999762
34,Construction,2008,4.976548595825517
35,Textiles,2008,60.57640306410485
36,Other (including electric components and electronics),2008,23.759676421643444
37,"Chemicals, petroleum and coal products",2008,335.2012832135386
38,Non-metallic metal products,2008,107.17402619390394
39,Transport equipment,2008,10.076930686175436
40,Machinery,2008,172.66116553302484
41,Mining,2008,3.0527445672944555
42,Food and tobaccoo products,2008,27.24772202665693
43,Pulp paper and printing,2008,44.855808432965006
44,Basic metals,2009,121.92614622538957
45,Construction,2009,4.855650631542582
46,Textiles,2009,53.28967321626532
47,Other (including electric components and electronics),2009,23.721641868657606
48,"Chemicals, petroleum and coal products",2009,334.940312497871
49,Non-metallic metal products,2009,94.77962598570745
50,Transport equipment,2009,9.128066105085654
51,Machinery,2009,161.66360448195246
52,Mining,2009,3.3763130990426387
53,Food and tobaccoo products,2009,27.118107078600016
54,Pulp paper and printing,2009,41.481255757513246
55,Basic metals,2010,156.11880582592073
56,Construction,2010,4.996166941236463
57,Textiles,2010,60.3769798143758
58,Other (including electric components and electronics),2010,24.43515411067991
