GDP_category,economy,year,unit,scenario,activity,energy,intensity
Aluminium,01_AUS,2017,thousand tonnes,Carbon Neutral,1450.0,310.023287172,0.21380916356689653
Aluminium,01_AUS,2017,thousand tonnes,Reference,1450.0,310.023287172,0.21380916356689653
Aluminium,01_AUS,2018,thousand tonnes,Carbon Neutral,1580.0,311.586931368,0.1972069185873418
Aluminium,01_AUS,2018,thousand tonnes,Reference,1580.0,311.586931368,0.1972069185873418
Aluminium,01_AUS,2019,thousand tonnes,Carbon Neutral,1600.0,315.53106973974684,0.19720691858734177
Aluminium,01_AUS,2019,thousand tonnes,Reference,1600.0,315.53106973974684,0.19720691858734177
Aluminium,01_AUS,2020,thousand tonnes,Carbon Neutral,1493.5508912293608,294.53856901272013,0.19720691858734166
Aluminium,01_AUS,2020,thousand tonnes,Reference,1493.5508912293608,294.53856901272013,0.19720691858734166
Aluminium,01_AUS,2021,thousand tonnes,Carbon Neutral,1498.1587180242752,295.4472643363285,0.19720691858734105
Aluminium,01_AUS,2021,thousand tonnes,Reference,1498.1587180242752,295.4472643363285,0.19720691858734105
Aluminium,01_AUS,2022,thousand tonnes,Carbon Neutral,1501.5127326635827,291.96299549849937,0.19444590055561942
Aluminium,01_AUS,2022,thousand tonnes,Reference,1501.5127326635827,294.0359354706426,0.19582646825048403
Aluminium,01_AUS,2023,thousand tonnes,Carbon Neutral,1503.7035291154723,288.2942834852078,0.19172282162215312
Aluminium,01_AUS,2023,thousand tonnes,Reference,1503.7035291154723,292.40367681288177,0.19445566971893935
Aluminium,01_AUS,2024,thousand tonnes,Carbon Neutral,1504.767432190679,284.45591433250746,0.18903646387295162
Aluminium,01_AUS,2024,thousand tonnes,Reference,1504.767432190679,290.5622311318631,0.19309444430815143
Aluminium,01_AUS,2025,thousand tonnes,Carbon Neutral,1504.8333183859504,280.479344781417,0.18638565570986473
Aluminium,01_AUS,2025,thousand tonnes,Reference,1504.8333183859504,288.5408247649097,0.191742714119589
Aluminium,01_AUS,2026,thousand tonnes,Carbon Neutral,1503.614373757462,276.3181163964862,0.18376927037880073
Aluminium,01_AUS,2026,thousand tonnes,Reference,1503.614373757462,286.28878126441293,0.19040040203193231
Aluminium,01_AUS,2027,thousand tonnes,Carbon Neutral,1501.3636726472855,272.02641550520696,0.18118622453782654
Aluminium,01_AUS,2027,thousand tonnes,Reference,1501.3636726472855,283.8589736236627,0.18906743169238083
Aluminium,01_AUS,2028,thousand tonnes,Carbon Neutral,1488.1498957296494,265.8363662690034,0.1786354768641516
