Economy,Year,Residential,GDP per capita
01_AUS,2017,463.4633427867839,48939.71417995943
01_AUS,2018,465.81060807934784,49744.30307722746
01_AUS,2019,473.7071237230832,50026.782778984016
01_AUS,2020,452.3338723779292,46131.9433588345
01_AUS,2021,456.8436089079126,48398.7306672621
01_AUS,2022,453.37757253535443,49152.325295932955
01_AUS,2023,453.3129056779704,49908.61147238403
01_AUS,2024,449.50430230331574,50685.44439354664
01_AUS,2025,448.9648001419498,51487.64605033461
01_AUS,2026,444.9641203361118,52315.51595341352
01_AUS,2027,444.08936579632694,53164.985096202785
01_AUS,2028,443.03292070267287,54037.97725505298
01_AUS,2029,441.80875319867926,54937.75434816575
01_AUS,2030,440.4267602420869,55867.758897605825
01_AUS,2031,438.8736766241956,56830.2426635192
01_AUS,2032,439.93209016345173,57833.05427163359
01_AUS,2033,438.1441426984614,58878.80729306597
01_AUS,2034,438.8959322907616,59969.66531669444
01_AUS,2035,439.51698231738635,61107.06771411168
01_AUS,2036,440.02992945106763,62291.91564775744
01_AUS,2037,440.4329891198837,63517.16270384049
01_AUS,2038,440.7320272004521,64781.0830152787
01_AUS,2039,443.16570248556656,66081.43393791695
01_AUS,2040,445.37305581569564,67416.49284776018
01_AUS,2041,445.3400228739691,68785.86684040836
01_AUS,2042,447.2809748958482,70197.20784138456
01_AUS,2043,451.061435602418,71651.11805222151
01_AUS,2044,452.5672948892153,73148.35399771477
01_AUS,2045,455.8406928555918,74689.64957926159
01_AUS,2046,458.8644196912761,76275.40106782723
01_AUS,2047,461.6515587481617,77896.99537809043
01_AUS,2048,464.2134645404006,79553.03848671482
01_AUS,2049,466.56144703495056,81242.36688841014
01_AUS,2050,470.4431881423704,82964.75782328674
01_AUS,2051,0.0,
01_AUS,2052,0.0,
01_AUS,2053,0.0,
01_AUS,2054,0.0,
01_AUS,2055,0.0,
01_AUS,2056,0.0,
01_AUS,2057,0.0,
01_AUS,2058,0.0,
01_AUS,2059,0.0,
01_AUS,2060,0.0,
01_AUS,2061,0.0,
01_AUS,2062,0.0,
01_AUS,2063,0.0,
01_AUS,2064,0.0,
01_AUS,2065,0.0,
01_AUS,2066,0.0,
01_AUS,2067,0.0,
01_AUS,2068,0.0,
01_AUS,2069,0.0,
01_AUS,2070,0.0,
02_BD,2017,6.149435194392508,60994.53155632738
02_BD,2018,6.636732376593139,60389.18464725895
02_BD,2019,6.736462936108895,62116.479006253
02_BD,2020,6.825357327446541,62321.76923910369
02_BD,2021,6.907684758915876,63911.516225442094
02_BD,2022,6.987817748880616,65153.85172587349
02_BD,2023,7.061605566107779,66100.08976360991
02_BD,2024,7.131642827293616,66756.34085066359
02_BD,2025,7.19727802400201,67429.28291084217
02_BD,2026,7.258837044961515,67820.71073098038
02_BD,2027,7.31684340422996,68230.7658180698
02_BD,2028,7.370540404845277,68370.90709150657
02_BD,2029,7.4217743869252715,68818.23238464403
02_BD,2030,7.4684695013532405,69001.13008058291
02_BD,2031,7.509772561873014,68922.90087269706
02_BD,2032,7.548801069617937,69148.71658660148
02_BD,2033,7.583359535822043,69117.18768237797
02_BD,2034,7.614604624047818,69109.117536397
02_BD,2035,7.643951183315544,69398.21315728089
02_BD,2036,7.668185048861859,69154.19794602714
02_BD,2037,7.690253546932147,69209.36515356092
02_BD,2038,7.709441655916855,69284.25876179099
02_BD,2039,7.7255975590060695,69380.19571965224
02_BD,2040,7.739182431158687,69493.83284591697
02_BD,2041,7.748170053116584,69627.55360865967
02_BD,2042,7.753608417318864,69505.65593543343
02_BD,2043,7.75683741268376,69676.69238988162
02_BD,2044,7.757181001373816,69866.25702691432
02_BD,2045,7.754291023806365,70076.85840552089
02_BD,2046,7.747542166789204,70035.32514095267
02_BD,2047,7.738772547372927,70285.23820502813
02_BD,2048,7.726125276620754,70284.81035827649
02_BD,2049,7.711462924917994,70575.94263473875
