Economy,Year,Commercial,GDP
01_AUS,2017,317.18921649238365,806522474697.935
01_AUS,2018,318.7956590528056,824362940033.843
01_AUS,2019,324.19994754517205,839201472954.452
01_AUS,2020,309.57232930183875,783885142803.389
01_AUS,2021,312.65874340296557,832668948013.244
01_AUS,2022,310.28662621515247,855828264370.798
01_AUS,2023,310.2423689289056,879160380396.386
01_AUS,2024,307.63580265103553,903038765556.475
01_AUS,2025,307.2665733030775,927606108934.32
01_AUS,2026,304.52855202739175,952901005063.845
01_AUS,2027,303.9298796374048,978860774145.777
01_AUS,2028,303.20686022985365,1005530867894.87
01_AUS,2029,302.3690534486045,1032973433761.52
01_AUS,2030,301.423232662728,1061259156368.58
01_AUS,2031,300.36031930922746,1090454222632.11
01_AUS,2032,301.08468589930754,1120736812148.67
01_AUS,2033,299.86103431094296,1152164440650.38
01_AUS,2034,300.3755508427467,1184781752729.15
01_AUS,2035,300.8005906531515,1218627364721.99
01_AUS,2036,301.1516460321078,1253735906900.33
01_AUS,2037,301.427495638212,1289997225384.23
01_AUS,2038,301.6321540129316,1327414505868.05
01_AUS,2039,303.29773462226467,1365988854303.23
01_AUS,2040,304.8084229737867,1405725547582.07
01_AUS,2041,304.7858155916329,1446641722286.16
01_AUS,2042,306.11418181660184,1488918500763.91
01_AUS,2043,308.70148756183477,1532596776833.59
01_AUS,2044,309.7320811023184,1577721119332.33
01_AUS,2045,311.9723586828053,1624334193847.46
01_AUS,2046,314.04176408632804,1672473946879.83
01_AUS,2047,315.94925141508435,1721975735540.51
01_AUS,2048,317.7025915737286,1772818128258.23
01_AUS,2049,319.3095249793049,1824980990221.26
01_AUS,2050,321.966145917404,1878465906659.58
01_AUS,2051,0.0,
01_AUS,2052,0.0,
01_AUS,2053,0.0,
01_AUS,2054,0.0,
01_AUS,2055,0.0,
01_AUS,2056,0.0,
01_AUS,2057,0.0,
01_AUS,2058,0.0,
01_AUS,2059,0.0,
01_AUS,2060,0.0,
01_AUS,2061,0.0,
01_AUS,2062,0.0,
01_AUS,2063,0.0,
01_AUS,2064,0.0,
01_AUS,2065,0.0,
01_AUS,2066,0.0,
01_AUS,2067,0.0,
01_AUS,2068,0.0,
01_AUS,2069,0.0,
01_AUS,2070,0.0,
02_BD,2017,6.160112508188308,10576746311.14
02_BD,2018,6.648255788406349,9671948028.9847
02_BD,2019,6.748159510894853,10049154002.1151
02_BD,2020,6.837208250279268,10210572751.1525
02_BD,2021,6.9196786275301285,10599896161.085
02_BD,2022,6.999950753049957,10934276359.9825
02_BD,2023,7.073866688657741,11220040999.248
02_BD,2024,7.144025556103575,11456740214.6106
02_BD,2025,7.209774715732001,11694768230.2662
02_BD,2026,7.271440622114796,11883130353.9231
02_BD,2027,7.329547698291458,12072524628.7792
02_BD,2028,7.383337933440898,12211646139.745
02_BD,2029,7.434660873496119,12402963155.1106
02_BD,2030,7.481437065026897,12543705281.258
02_BD,2031,7.522811840382904,12633408848.5628
02_BD,2032,7.561908113639781,12775473013.6421
02_BD,2033,7.596526583986756,12866190934.7565
02_BD,2034,7.627825923310561,12957340649.3226
02_BD,2035,7.657223437245214,13101329258.3482
02_BD,2036,7.681499380247223,13140942600.4851
02_BD,2037,7.703606196028235,13233398419.0062
02_BD,2038,7.722827621480928,13326293201.5153
02_BD,2039,7.739011576194638,13419628755.0969
02_BD,2040,7.752620035870055,13513406902.8042
02_BD,2041,7.761623263108257,13607629456.5765
02_BD,2042,7.767071069986049,13648773655.4194
02_BD,2043,7.770305671881571,13743728693.832
02_BD,2044,7.7706498571474345,13839133170.9572
02_BD,2045,7.767754861688685,13934988927.5018
02_BD,2046,7.760994286576795,13977122932.1832
02_BD,2047,7.752209440399781,14073723034.1797
02_BD,2048,7.739540210089662,14116276517.7105
02_BD,2049,7.724852400027693,14213626459.889
02_BD,2050,7.706865728119494,14311436043.0112
02_BD,2051,0.0,
02_BD,2052,0.0,
02_BD,2053,0.0,
02_BD,2054,0.0,
02_BD,2055,0.0,
02_BD,2056,0.0,
02_BD,2057,0.0,
02_BD,2058,0.0,
02_BD,2059,0.0,
02_BD,2060,0.0,
02_BD,2061,0.0,
02_BD,2062,0.0,
02_BD,2063,0.0,
02_BD,2064,0.0,
02_BD,2065,0.0,
02_BD,2066,0.0,
02_BD,2067,0.0,
02_BD,2068,0.0,
02_BD,2069,0.0,
02_BD,2070,0.0,
03_CDA,2017,1012.6582332238386,1184299433424.61
03_CDA,2018,1067.0497349722186,1206765294716.18
03_CDA,2019,1089.885130719566,1226073539431.64
03_CDA,2020,1044.7799378052482,1150502744936.4
03_CDA,2021,1055.5250788312662,1199288527193.69
03_CDA,2022,1068.1370374043054,1218243081070.56
03_CDA,2023,1076.8627316365898,1237934874307.19
03_CDA,2024,1081.7759036475943,1258433546680.27
03_CDA,2025,1086.6668685843529,1279716152275.89
03_CDA,2026,1093.3878200044362,1301692971766.48
03_CDA,2027,1098.2696175309582,1324483570137.67
03_CDA,2028,1105.0519661512103,1348095211277.86
03_CDA,2029,1111.8284586048271,1372549235594.88
03_CDA,2030,1116.8130019362973,1397871237333.1
03_CDA,2031,1123.482895739978,1424089665288.87
03_CDA,2032,1130.112479955069,1451071062115.34
03_CDA,2033,1137.710590349475,1478818416596.73
03_CDA,2034,1142.0346576156578,1507319922893.18
03_CDA,2035,1145.629614647202,1536563051665.01
03_CDA,2036,1150.973640387718,1566541600692.69
03_CDA,2037,1156.2819454031342,1597257116978.36
03_CDA,2038,1159.850982301408,1628711150193.19
03_CDA,2039,1165.09717761941,1660905957081.75
03_CDA,2040,1170.3040357367743,1693846623212.44
03_CDA,2041,1175.5737668663114,1727538947225.87
03_CDA,2042,1180.8157337613989,1761985909139.48
03_CDA,2043,1187.6839687943611,1797169278876.63
03_CDA,2044,1192.8547171404434,1833058063525.33
03_CDA,2045,1199.6267398028033,1869626176053.62
03_CDA,2046,1204.7033028043102,1906869434233.22
03_CDA,2047,1211.3496236868618,1944797105706.06
03_CDA,2048,1217.927316685445,1983417763388.91
03_CDA,2049,1225.3460726883277,2022742118640.26
03_CDA,2050,1233.3730599192672,2062797207678.18
03_CDA,2051,1240.6323216243027,
03_CDA,2052,1247.8342659267516,
03_CDA,2053,1256.548814827443,
03_CDA,2054,1263.6072124406128,
03_CDA,2055,1272.1486045963597,
03_CDA,2056,1280.5938912073552,
03_CDA,2057,1287.3926783605534,
03_CDA,2058,1295.643443423687,
03_CDA,2059,1305.3192362756681,
03_CDA,2060,1313.3401649681905,
03_CDA,2061,1321.2457309872275,
03_CDA,2062,1330.5514163748596,
03_CDA,2063,1339.7365090942985,
03_CDA,2064,1348.8109578759736,
03_CDA,2065,1357.7838286376057,
03_CDA,2066,1366.6585429104748,
03_CDA,2067,1375.4383668294454,
03_CDA,2068,1385.6029460792736,
03_CDA,2069,1394.2151165949301,
03_CDA,2070,1404.2182601091315,
04_CHL,2017,65.46739697431262,253898372106.826
04_CHL,2018,66.64643613515693,264743111326.489
04_CHL,2019,66.25333626408845,270566838130.718
04_CHL,2020,62.56968729820464,259580230555.917
04_CHL,2021,64.22635005585448,274595654828.297
04_CHL,2022,65.18050186219439,282836633545.838
04_CHL,2023,66.10065776459251,291054305757.863
04_CHL,2024,67.00170057432089,299329606073.511
04_CHL,2025,67.78499524243907,307735967001.5
04_CHL,2026,68.54100846212224,316263737848.913
04_CHL,2027,69.16610422860484,324932315901.121
04_CHL,2028,69.84850160227136,333739574637.637
04_CHL,2029,70.4784813019693,342685478615.004
04_CHL,2030,71.04857631318572,351771087462.354
04_CHL,2031,71.55800617505983,360999302649.449
04_CHL,2032,72.11300207270867,370346837097.818
04_CHL,2033,72.5393466532514,379820413095.41
04_CHL,2034,72.95579750521404,389426000364.919
04_CHL,2035,73.47060637443458,399168730674.839
04_CHL,2036,73.99639462684328,409053481353.146
04_CHL,2037,74.44408415754424,419086621590.019
04_CHL,2038,74.98997622823522,429273268615.622
04_CHL,2039,75.53600975349526,439615964846.378
04_CHL,2040,76.07541703857454,450113796919.666
04_CHL,2041,76.7110617935401,460765406838.981
04_CHL,2042,77.3553273826026,471610171014.666
04_CHL,2043,78.08650133796642,482651439921.418
04_CHL,2044,78.73234903744304,493893301348.959
04_CHL,2045,79.46288038402794,505340946721.404
04_CHL,2046,80.1934738504812,517000414704.049
04_CHL,2047,80.92342579250497,528833074981.008
04_CHL,2048,81.65245178843567,540838570339.24
04_CHL,2049,82.46191870952093,553013740516.717
04_CHL,2050,83.18274824914384,565355277937.688
04_CHL,2051,83.87947192478266,
04_CHL,2052,84.6525078408007,
04_CHL,2053,85.41938552990857,
04_CHL,2054,86.25941401151813,
04_CHL,2055,87.09113907269413,
04_CHL,2056,87.91416458776999,
04_CHL,2057,88.72824168154501,
04_CHL,2058,89.53300650144627,
04_CHL,2059,90.40597898023233,
04_CHL,2060,91.26815596113707,
04_CHL,2061,91.81066537890284,
04_CHL,2062,92.88269662948068,
04_CHL,2063,93.94182740263291,
04_CHL,2064,94.98878566266949,
04_CHL,2065,96.024205401984,
04_CHL,2066,97.04827933203693,
04_CHL,2067,98.06109244853785,
04_CHL,2068,99.06330004338785,
04_CHL,2069,100.0555181168864,
04_CHL,2070,101.03833875973656,
05_PRC,2017,2510.2253226966136,10180002893292.3
05_PRC,2018,2583.4220080004275,10903765119926.3
05_PRC,2019,2762.474287313617,11568894792241.8
05_PRC,2020,2811.5966612332127,11785257289210.0
05_PRC,2021,3000.8520579205533,12954730742839.5
05_PRC,2022,3134.4480914176274,13646225486181.5
05_PRC,2023,3275.7995684543926,14338761489014.8
05_PRC,2024,3421.6227967354503,15036074528300.0
05_PRC,2025,3568.295650800302,15739745084764.5
05_PRC,2026,3632.2670136586967,16447701025264.3
05_PRC,2027,3691.043008435725,17158706650307.6
05_PRC,2028,3748.0090235139264,17871981196882.9
05_PRC,2029,3799.8195150230927,18586874765945.8
05_PRC,2030,3849.67690595464,19302688868316.8
05_PRC,2031,3894.7175794374284,20018579796854.6
05_PRC,2032,3936.171533806893,20732306791521.9
05_PRC,2033,3972.3445080694923,21442209033796.8
05_PRC,2034,4006.418316257845,22146226593521.9
05_PRC,2035,4035.2299573763794,22842409869841.2
05_PRC,2036,4060.1796457275113,23529362001909.3
05_PRC,2037,4080.3115508768224,24207894230567.3
05_PRC,2038,4097.203623870851,24877944080095.8
05_PRC,2039,4111.025378286593,25539841161326.0
05_PRC,2040,4121.93183923471,26194258340786.7
05_PRC,2041,4129.319378519449,26842200304322.7
05_PRC,2042,4134.454212244982,27483465410482.5
05_PRC,2043,4137.37060473993,28119625971296.4
05_PRC,2044,4138.330560790057,28752442657658.5
05_PRC,2045,4137.6029909396575,29383893253508.5
