,Year,Sector,Energy_intensity
0,2005,Basic metals,0.0003967684128771766
1,2005,Construction,1.3895484863061855e-05
2,2005,Textiles,0.000385103005621403
3,2005,Other (including electric components and electronics),2.5235912208588612e-05
4,2005,"Chemicals, petroleum and coal products",0.0004261548128104234
5,2005,Non-metallic metal products,0.002025658018555851
6,2005,Transport equipment,4.0233248041495186e-05
7,2005,Machinery,0.0003730108674131142
8,2005,Mining,0.0001878235503046402
9,2005,Food and tobaccoo products,0.00016951380632628776
10,2005,Pulp paper and printing,0.0005470848688727363
11,2006,Basic metals,0.0004026284974876389
12,2006,Construction,1.1985855857634361e-05
13,2006,Textiles,0.00036738471328982874
14,2006,Other (including electric components and electronics),2.1687373715603515e-05
15,2006,"Chemicals, petroleum and coal products",0.00046200218925817504
16,2006,Non-metallic metal products,0.0018983190601785608
17,2006,Transport equipment,4.385737947479128e-05
18,2006,Machinery,0.0003942479805015483
19,2006,Mining,0.00023081751653863911
20,2006,Food and tobaccoo products,0.00016526554685234067
21,2006,Pulp paper and printing,0.0005248469072412095
22,2007,Basic metals,0.0003820374526395376
23,2007,Construction,1.1194365125580781e-05
24,2007,Textiles,0.00035268031443322
25,2007,Other (including electric components and electronics),1.8607108539983045e-05
26,2007,"Chemicals, petroleum and coal products",0.0004520486472489488
27,2007,Non-metallic metal products,0.0015594369961440628
28,2007,Transport equipment,4.2711887744538686e-05
29,2007,Machinery,0.0003954612093270848
30,2007,Mining,0.00023324166187505652
31,2007,Food and tobaccoo products,0.00015567406959890294
32,2007,Pulp paper and printing,0.0004895348013122166
33,2008,Basic metals,0.0003744075877009385
34,2008,Construction,1.2171111948741978e-05
35,2008,Textiles,0.00034838652072502317
36,2008,Other (including electric components and electronics),1.7113372901327706e-05
37,2008,"Chemicals, petroleum and coal products",0.00043736149278204763
38,2008,Non-metallic metal products,0.001437574125360875
39,2008,Transport equipment,4.4163167245208436e-05
40,2008,Machinery,0.0004269817336662533
41,2008,Mining,0.0002666618245365527
42,2008,Food and tobaccoo products,0.00014892232451196906
43,2008,Pulp paper and printing,0.0004523031544484835
44,2009,Basic metals,0.00038210342542398294
45,2009,Construction,1.3339919425986641e-05
46,2009,Textiles,0.00034529244237271157
47,2009,Other (including electric components and electronics),1.657521943432776e-05
48,2009,"Chemicals, petroleum and coal products",0.0004313289649709683
49,2009,Non-metallic metal products,0.0012085076056167832
50,2009,Transport equipment,4.5617521764546e-05
51,2009,Machinery,0.0004985432121242428
52,2009,Mining,0.00032567889447695944
53,2009,Food and tobaccoo products,0.0001444465535938383
54,2009,Pulp paper and printing,0.000510802578040504
55,2010,Basic metals,0.0003805306942957026
56,2010,Construction,1.2060258097402069e-05
57,2010,Textiles,0.000333360828498729
58,2010,Other (including electric components and electronics),1.3551964459901973e-05
59,2010,"Chemicals, petroleum and coal products",0.0004191333623931526
60,2010,Non-metallic metal products,0.0009690812750881906
61,2010,Transport equipment,4.458844185482594e-05
62,2010,Machinery,0.0004144456784838295
63,2010,Mining,0.0002497065575692313
64,2010,Food and tobaccoo products,0.00014559655286370803
65,2010,Pulp paper and printing,0.0004948483921230394
66,2011,Basic metals,0.00037765115912547295
67,2011,Construction,1.3457949805455342e-05
68,2011,Textiles,0.000332770656981735
69,2011,Other (including electric components and electronics),1.232237113586772e-05
70,2011,"Chemicals, petroleum and coal products",0.0004015853199663006
71,2011,Non-metallic metal products,0.0009771748826162819
72,2011,Transport equipment,4.3882089922733963e-05
73,2011,Machinery,0.0004301995417767541
74,2011,Mining,0.00027016623701464
75,2011,Food and tobaccoo products,0.00013723335856351154
76,2011,Pulp paper and printing,0.0005275620562906707
77,2012,Basic metals,0.00037226520465980195
78,2012,Construction,1.388387680544952e-05
79,2012,Textiles,0.00035057924918095924
80,2012,Other (including electric components and electronics),1.1774240535556362e-05
81,2012,"Chemicals, petroleum and coal products",0.00040286167280469294
82,2012,Non-metallic metal products,0.000870696678082332
83,2012,Transport equipment,4.67148544671933e-05
84,2012,Machinery,0.00045293772940387204
85,2012,Mining,0.00022340473356388188
86,2012,Food and tobaccoo products,0.00013272679862358773
87,2012,Pulp paper and printing,0.0005281068440099204
88,2013,Basic metals,0.0003450478504687496
89,2013,Construction,1.1413434321018168e-05
90,2013,Textiles,0.00034327188660133144
91,2013,Other (including electric components and electronics),1.108147371831566e-05
92,2013,"Chemicals, petroleum and coal products",0.0003892745331391172
93,2013,Non-metallic metal products,0.0008529461956478255
94,2013,Transport equipment,4.852591462562852e-05
95,2013,Machinery,0.000509206531127687
96,2013,Mining,0.00022794215598750603
97,2013,Food and tobaccoo products,0.00013249868637438402
98,2013,Pulp paper and printing,0.0005179343363116278
99,2014,Basic metals,0.0002926687488457129
100,2014,Construction,1.1911447221109453e-05
101,2014,Textiles,0.00032867658442164955
102,2014,Other (including electric components and electronics),9.53834664979384e-06
103,2014,"Chemicals, petroleum and coal products",0.00038480750371049137
104,2014,Non-metallic metal products,0.000784002974431194
105,2014,Transport equipment,4.649694854324871e-05
106,2014,Machinery,0.0004965663073498286
107,2014,Mining,0.0002404704997975213
108,2014,Food and tobaccoo products,0.00013378979936297603
109,2014,Pulp paper and printing,0.0004888869656117017
110,2015,Basic metals,0.0002725749550055101
111,2015,Construction,1.0791233793229004e-05
112,2015,Textiles,0.00030993449966116833
113,2015,Other (including electric components and electronics),9.978203110191421e-06
114,2015,"Chemicals, petroleum and coal products",0.0003708332104992889
115,2015,Non-metallic metal products,0.0007996228468262515
116,2015,Transport equipment,4.569850379973099e-05
117,2015,Machinery,0.0005296012384340772
118,2015,Mining,0.0002559923393480477
119,2015,Food and tobaccoo products,0.00013533998351348235
120,2015,Pulp paper and printing,0.00045373339606264086
121,2016,Basic metals,0.00024953377048558096
122,2016,Construction,1.0459059761185562e-05
123,2016,Textiles,0.0002892974685252797
124,2016,Other (including electric components and electronics),9.829755374253575e-06
125,2016,"Chemicals, petroleum and coal products",0.00038077636785112303
126,2016,Non-metallic metal products,0.0007631113334050893
127,2016,Transport equipment,4.653373957227348e-05
128,2016,Machinery,0.0005482469829063674
129,2016,Mining,0.00026146767875884544
130,2016,Food and tobaccoo products,0.0001289529028780137
131,2016,Pulp paper and printing,0.00042421600916109885
132,2017,Basic metals,0.0002433995806150736
133,2017,Construction,1.0704293639314278e-05
134,2017,Textiles,0.00027583108277368134
135,2017,Other (including electric components and electronics),9.388036872828462e-06
136,2017,"Chemicals, petroleum and coal products",0.00036580950272784496
137,2017,Non-metallic metal products,0.0007174700074508562
138,2017,Transport equipment,4.681169775108278e-05
139,2017,Machinery,0.0005193220143505207
140,2017,Mining,0.0002624065526947379
141,2017,Food and tobaccoo products,0.00012171238048252579
142,2017,Pulp paper and printing,0.00041453481131291164
143,2018,Basic metals,0.00026059269715544126
144,2018,Construction,9.689470324835213e-06
145,2018,Textiles,0.0002964126406124052
146,2018,Other (including electric components and electronics),8.274218227123373e-06
147,2018,"Chemicals, petroleum and coal products",0.00040467448356313663
148,2018,Non-metallic metal products,0.0006494896430553376
149,2018,Transport equipment,5.0843024129338516e-05
150,2018,Machinery,0.00048442988065255894
151,2018,Mining,7.730183226390152e-05
152,2018,Food and tobaccoo products,0.00012556808839452247
153,2018,Pulp paper and printing,0.000449101151504251
154,2019,Basic metals,0.00026180268020437806
155,2019,Construction,8.87481173372063e-06
156,2019,Textiles,0.0002885984609049549
157,2019,Other (including electric components and electronics),7.145739558124854e-06
158,2019,"Chemicals, petroleum and coal products",0.0004119992955270227
159,2019,Non-metallic metal products,0.0007002392084555552
160,2019,Transport equipment,4.8983056803241346e-05
161,2019,Machinery,0.000524810311550109
162,2019,Mining,8.415203727827788e-05
163,2019,Food and tobaccoo products,0.0001252056965893995
164,2019,Pulp paper and printing,0.00047287700928387436
