Year,Activity,GDP_category,Energy intensity,Change in energy,Energy
2017,0.0,0.0,0.0,0.0,70229.23587930897
2018,2309.213653043128,-14.335909316631756,328.14854486854745,2623.02628859504,72852.262167904
2019,2735.5137031663817,374.0560974710802,431.8901790309983,3541.459979668453,73770.69585897741
2020,2568.745301174101,-308.7924835566883,519.7437137010993,2779.6965313185324,73008.9324106275
2021,5881.989072075493,-102.23755921400573,1045.786510490741,6825.538023352237,77054.7739026612
2022,7067.033618766489,-157.78903537064048,226.84780001169244,7136.092383407545,77365.3282627165
2023,7166.469602821723,176.17296407649883,-329.4718451546583,7013.170721743578,77242.40660105254
2024,6783.498395606304,585.0342161224539,-909.9343488291103,6458.598262899623,76687.8341422086
2025,6459.468429985898,833.4741740985365,-1447.428831509513,5845.513772574944,76074.7496518839
2026,6491.839627204676,1058.4081219085629,-2031.233018997084,5519.0147301161305,75748.2506094251
2027,6503.827772806227,1303.9754251515644,-2610.664185851758,5197.139012106012,75426.37489141498
2028,6123.515591459177,1509.1821630140043,-3132.7922897119465,4499.905464761238,74729.1413440702
2029,6028.325939500524,1565.2564753164556,-3718.07047870287,3875.511936114108,74104.74781542308
2030,5985.446602374955,1609.7003365395767,-4231.061252262914,3364.0856866516074,73593.32156596058
2031,5928.790076260809,1747.4550462988188,-4742.209735940779,2934.035386618839,73163.2712659278
2032,5831.583256097445,1852.30717709057,-5223.006094833355,2460.8843383546787,72690.12021766364
2033,5767.571419272596,1940.1765501416683,-5700.497486479287,2007.2504829349673,72236.48636224393
2034,5714.25476665244,2007.9762032305864,-6178.353111677865,1543.8778582051827,71773.11373751416
2035,5594.848058094751,2047.3128447257309,-6669.506708508483,972.6541943119973,71201.89007362096
2036,5579.467993872086,2082.5808032895316,-7125.226760160423,536.8220370011727,70766.05791631014
2037,5569.147739298601,2098.775805813704,-7573.6646166098935,94.25892850237051,70323.49480781134
2038,5508.1166227457525,2084.4125793842854,-8052.664698163639,-460.13549603358115,69769.10038327538
2039,5513.055189937767,2055.947367087883,-8500.72278963101,-931.7202326053612,69297.5156467036
2040,5517.208833814868,2001.2394166915183,-8969.879371531182,-1451.4311210248138,68777.80475828415
2041,5497.257052221906,1964.299832378816,-9438.052020340554,-1976.495135739834,68252.74074356913
2042,5588.882525395326,1876.137903336329,-9866.898888164118,-2401.878459432464,67827.3574198765
2043,5678.2888364147375,1761.744264995892,-10286.917006733376,-2846.883905322751,67382.35197398621
2044,5655.534228799515,1645.4364315131825,-10722.76722977148,-3421.796569458775,66807.43930985019
2045,5730.612088892467,1491.5366525108607,-11138.959425451018,-3916.8106840477085,66312.42519526125
2046,5822.408014263338,1377.8937192792955,-11518.869864129872,-4318.568130587208,65910.66774872177
2047,5805.95494967909,1258.013896331419,-11918.963198289008,-4854.994352278503,65374.24152703046
2048,5896.693550747942,1105.1418181330455,-12314.66771528589,-5312.832346404899,64916.40353290406
2049,5981.155308341271,934.5950716175001,-12711.397538555853,-5795.647158597079,64433.58872071189
2050,5961.023317400239,756.634843190004,-13126.742543104592,-6409.084382514369,63820.1514967946
