Year,Activity,GDP_category,Energy intensity,Change in energy,Energy
2017,0.0,0.0,0.0,0.0,70229.23587930897
2018,2309.213653043128,-14.335909316631756,328.14854486854745,2623.02628859504,72852.262167904
2019,2735.5137031663817,374.0560974710802,431.8901790309983,3541.459979668453,73770.69585897741
2020,2568.745301174101,-308.7924835566883,519.7437137010993,2779.6965313185324,73008.9324106275
2021,5886.918163079832,-101.94524035516582,1050.5790293592233,6835.551952083906,77064.78783139287
2022,7110.682132728261,-145.4510897050843,823.8351165648451,7789.06615958802,78018.30203889699
2023,7242.861305384051,191.12895728173112,632.2690986715086,8066.25936133731,78295.49524064628
2024,6891.788102750718,602.4863355613386,392.4912475349709,7886.7656858470145,78116.00156515598
2025,6601.6519065271295,852.972283267156,174.91160410880434,7629.5357939030855,77858.77167321205
2026,6676.361006561827,1080.846378612238,-78.64637122624455,7678.5610139478185,77907.79689325679
2027,6734.842507742819,1330.739617944845,-325.3169243565466,7740.265201331105,77969.50108064007
2028,6397.105089751758,1541.5261350489484,-517.4429635198785,7421.188261280841,77650.4241405898
2029,6353.402070242126,1602.6740567486524,-769.7086163988984,7186.3675105919065,77415.60338990088
2030,6366.828404417136,1652.494318836645,-946.0978494400426,7073.224873813764,77302.46075312274
2031,6370.973584600611,1798.2686086999165,-1092.7020187339676,7076.540174566591,77305.77605387555
2032,6335.8591716263445,1910.6861537793793,-1222.4221681710535,7024.123157234666,77253.35903654364
2033,6338.293425486094,2007.8331136216027,-1349.9697402971185,6996.156798810579,77225.39267811955
2034,6355.1377968751085,2085.538666492526,-1476.0333393091576,6964.643124058487,77193.87900336746
2035,6306.358107208177,2135.450840576585,-1619.4802063988352,6822.328741385909,77051.56462069487
2036,6369.419769005988,2183.5025009494516,-1722.2249810564058,6830.697288899002,77059.93316820796
2037,6441.196848773424,2213.3551910680358,-1817.0364022131237,6837.515637628324,77066.7515169373
2038,6463.019741100382,2212.6792819010548,-1945.517934054089,6730.181088947332,76959.4169682563
2039,6557.568704145501,2198.6882034170817,-2036.6731901392704,6719.583717423327,76948.8195967323
2040,6654.912544626804,2157.740197765204,-2140.820303215183,6671.832439176819,76901.06831848579
2041,6730.828994367893,2138.267575337535,-2251.9374887181293,6617.159080987315,76846.39496029628
2042,6929.973266970054,2065.695118663679,-2318.6100580942916,6677.058327539473,76906.29420684844
2043,7130.982705251655,1966.6064259299644,-2374.9705312603037,6722.618599921361,76951.85447923033
2044,7214.416308669464,1867.603050694686,-2453.4786373230363,6628.54072204112,76857.77660135008
2045,7407.909823996786,1728.6285690731982,-2503.6739073734216,6632.8644856965575,76862.10036500552
2046,7625.1980405474915,1633.7727477507362,-2503.8750026207736,6755.095785677439,76984.3316649864
2047,7727.614367451125,1534.3260802560396,-2532.5007342822882,6729.439713424872,76958.67559273384
2048,7952.045844805092,1398.9590777499373,-2543.1976056248122,6807.807316930227,77037.04319623919
2049,8173.941750840589,1245.4641129796253,-2551.447332364083,6867.958531456143,77097.1944107651
2050,8283.415010875158,1084.8836121263798,-2582.387591758117,6785.911031243431,77015.1469105524
