Year,Activity,Engine type,Energy intensity,Change in energy,Energy
2018,0.0,0.0,0.0,0.0,19544.735161953504
2019,954.0094496937045,86.04727133636673,-430.5480360645569,609.5086849655213,20154.243846919024
2020,607.6426722628744,-9.337725662343098,-1075.9000140605149,-477.59506745997754,19067.140094493527
2021,2458.9961935883402,34.33837082852571,-1365.30794352277,1128.0266208940855,20672.76178284759
2022,3529.1470727009973,29.961867464115898,-2022.6276490199243,1536.481291145173,21081.216453098677
2023,4619.261468750978,3.735587491473055,-2777.0103243013873,1845.9867319410505,21390.72189389455
2024,5703.725487765683,-60.98461559083282,-3485.9586372116846,2156.7822349631706,21701.517396916675
2025,6627.752249862167,-168.1661712922026,-4079.703436252402,2379.882642317559,21924.617804271064
2026,7172.4982177446855,-284.7438582782763,-4456.898267014323,2430.8560924520857,21975.591254405586
2027,7517.351149324351,-460.0732544293771,-4695.484653961228,2361.79324093373,21906.528402887234
2028,7791.900834184889,-705.6449374142552,-4863.297565426128,2222.9583313444955,21767.693493298
2029,8006.86562103144,-998.8284058781954,-4968.699293059583,2039.3379220936606,21584.073084047166
2030,8157.88438975465,-1304.8496481726766,-5030.18248396519,1822.8522576167693,21367.58741957027
2031,8262.115353628325,-1596.8524746801104,-5065.641628366475,1599.6212505817432,21144.356412535246
2032,8329.72903681755,-1861.3206828190005,-5085.139373026776,1383.2689809717788,20928.00414292528
2033,8355.398935376033,-2093.5316921138483,-5097.321959494852,1164.545283767319,20709.280445720822
2034,8351.961815023957,-2294.4539395435863,-5104.043655995724,953.464219484636,20498.19938143814
2035,8319.657000790838,-2465.7106398285614,-5107.602247167189,746.3441137950736,20291.079275748576
2036,8257.173968706302,-2616.2423659514916,-5101.022820641754,539.9087821130481,20084.643944066553
2037,8167.130761058418,-2757.671766270077,-5081.049114736493,328.4098800518384,19873.14504200534
2038,8058.525700969078,-2890.75754485401,-5048.680368641207,119.08778747385168,19663.822949427355
2039,7934.8794775523065,-3017.246818321239,-5002.541948880754,-84.9092896496818,19459.82587230382
2040,7791.372655977642,-3138.1535469164874,-4944.326012779852,-291.1069037186985,19253.628258234803
2041,7639.7499845616085,-3252.841192368342,-4879.050454964973,-492.14166277171626,19052.59349918179
2042,7471.559920132297,-3363.3027209818842,-4805.260740343664,-697.003541193254,18847.73162076025
2043,7294.207883138668,-3470.582266718538,-4723.77885430393,-900.1532378838051,18644.5819240697
2044,7110.95731449425,-3575.2941423062234,-4636.535932325046,-1100.8727601370265,18443.862401816477
2045,6917.648167597152,-3679.0146600310045,-4544.308099183648,-1305.6745916175032,18239.060570335998
2046,6723.84744886722,-3783.25298459457,-4444.708782550733,-1504.1143182780952,18040.62084367541
2047,6530.348079888211,-3887.390947447959,-4342.577149238361,-1699.6200167981156,17845.11514515539
2048,6335.297166530907,-3992.3034290949404,-4238.875723675673,-1895.8819862397022,17648.8531757138
2049,6137.256046312901,-4099.072808948694,-4134.015989617537,-2095.832752253333,17448.90240970017
2050,5940.558902814518,-4207.750256154506,-4028.346865332577,-2295.5382186725597,17249.196943280942
