Year,Activity,Engine type,Energy intensity,Change in energy,Energy
2018,0.0,0.0,0.0,0.0,19554.61490007346
2019,954.2436610679143,86.07922568115995,-430.8311610005408,609.4917257485428,20164.106625822
2020,607.8405517980865,-9.232724212182854,-1076.3214457902127,-477.7136182043019,19076.901281869155
2021,2507.916786732105,40.22485786875713,-1355.2467445232894,1192.894900077587,20747.509800151045
2022,3626.7817792840005,41.82287606798329,-2006.0565762213996,1662.5480791305824,21217.16297920404
2023,4765.6659904045555,40.82033781663384,-2770.0732547925127,2036.4130734286953,21591.027973502154
2024,5901.80428556118,33.557825936189715,-3510.8634162441062,2424.498695253267,21979.113595326726
2025,6903.921645823055,33.37450112016276,-4158.083383865784,2779.2127630774366,22333.827663150896
2026,7652.813464264767,34.43185262142512,-4632.003505680011,3055.241811206176,22609.856711279637
2027,8228.325896913635,43.21921976124452,-4998.739611163044,3272.805505511857,22827.420405585315
2028,8766.01319797969,49.25210028333089,-5330.692927569827,3484.572370693199,23039.18727076666
2029,9276.300796127965,53.385717663845355,-5628.729278079617,3700.9572357122056,23255.572135785664
2030,9746.787896757269,56.69966382371342,-5896.42721089345,3907.0603496875437,23461.675249761003
2031,10188.16591534267,59.22474367641678,-6126.677536701438,4120.713122317658,23675.328022391117
2032,10604.550842483957,60.24499424881742,-6318.484119069081,4346.3117176636915,23900.92661773715
2033,10983.984026446775,59.52351983051858,-6477.372478082965,4566.135068194341,24120.7499682678
2034,11339.809949800565,56.07120706517253,-6601.487683708022,4794.393473157735,24349.00837323119
2035,11670.048012964831,49.897117810263126,-6694.532016378273,5025.413114396845,24580.028014470307
2036,11971.264175092476,40.06791962750265,-6758.15226667621,5253.17982804379,24807.79472811725
2037,12241.419888926159,26.743791312506403,-6797.4710916293825,5470.692588609285,25025.307488682745
2038,12488.0258595801,9.322130187096946,-6815.046208431428,5682.301781335786,25236.916681409242
2039,12714.202438919292,-12.6686879103695,-6812.2639572622065,5889.269793746729,25443.88469382019
2040,12910.47597415814,-39.29092454832676,-6793.720409947067,6077.4646396627395,25632.079539736198
2041,13092.881993411918,-72.2498173906439,-6760.347977992795,6260.284198028485,25814.899098101945
2042,13248.656874242377,-111.5767635730918,-6713.175870512325,6423.904240156961,25978.51914023042
2043,13386.29773067703,-157.65090928089643,-6653.684688666994,6574.962132729146,26129.577032802605
2044,13509.378742961491,-210.9978945314263,-6584.099699909084,6714.281148520987,26268.896048594444
2045,13611.345327319448,-271.6831294942615,-6507.156942930036,6832.505254895155,26387.120154968612
2046,13705.143519369449,-340.4160016912466,-6420.567659362747,6944.159858315465,26498.774758388925
2047,13793.087166228537,-417.2640745274165,-6329.550995014786,7046.2720966863335,26600.886996759793
2048,13871.0206269265,-501.8272258104749,-6237.5200063080665,7131.673394807971,26686.28829488143
2049,13935.040194441688,-593.6647267681163,-6147.3878429602055,7193.987624713364,26748.602524786824
2050,13993.548844465186,-692.671031676291,-6059.559121770182,7241.318691018723,26795.93359109218
