Year,Activity,Engine type,Energy intensity,Change in energy,Energy
2018,0.0,0.0,0.0,0.0,31487.460751960578
2019,525.4694346177729,-157.92336025600542,324.01063659771336,691.5567109594833,32179.017462920063
2020,-3593.195810190136,-416.98385967243644,-53.78302898772847,-4063.962698850266,27423.49805311031
2021,645.9731471190341,-416.7782321351692,-248.98849998778252,-19.79358500390049,31467.66716695668
2022,2365.9758662079907,-466.09334594755705,-604.4855058011225,1295.3970144593281,32782.85776641991
2023,3044.291003412667,-569.7406365585638,-1488.5890101850232,985.9613566691064,32473.422108629686
2024,3628.874608814109,-754.5049735568878,-2247.4749374165394,626.8946978407027,32114.35544980128
2025,4169.638605829276,-1079.2948512428577,-2921.7951237765005,168.54863080995443,31656.009382770535
2026,4319.356499152473,-1522.7965713821013,-3382.7084316570435,-586.1485038866473,30901.312248073933
2027,4609.179660003297,-2177.3696157739937,-3777.0932401599216,-1345.2831959305784,30142.17755603
2028,4847.735450756752,-3000.7377134798217,-4058.020377510864,-2211.0226402338953,29276.438111726682
2029,5058.651970606144,-3921.463771732367,-4259.486731461484,-3122.298532587678,28365.162219372898
2030,5215.446347625788,-4859.867793552237,-4404.076391600713,-4048.4978375271376,27438.962914433443
2031,5323.56510182346,-5779.586730458623,-4507.525155190124,-4963.546783825292,26523.91396813529
2032,5421.058020426039,-6671.249779146143,-4578.167318354731,-5828.359077074827,25659.10167488575
2033,5473.830413965934,-7529.008433972565,-4614.5965131420935,-6669.774533148708,24817.68621881187
2034,5509.9122086598645,-8376.307776344878,-4611.732007518563,-7478.127575203553,24009.333176757027
2035,5528.912419536335,-9223.86540149326,-4564.933428453393,-8259.886410410298,23227.57434155028
2036,5517.95426959868,-10080.211939894694,-4464.352818785027,-9026.610489081027,22460.850262879554
2037,5488.800531472926,-10863.902717475696,-4369.796108630689,-9744.898294633438,21742.56245732714
2038,5450.022895157361,-11582.913240665555,-4281.776514654999,-10414.666860163163,21072.793891797413
2039,5400.734985245999,-12244.365148277946,-4199.072379673486,-11042.702542705421,20444.758209255157
2040,5342.664689583269,-12853.160185800882,-4118.668224730102,-11629.163720947698,19858.29703101288
2041,5283.198888622921,-13416.543480507864,-4042.126287151316,-12175.470879036257,19311.989872924325
2042,5210.637367448651,-13937.404756295582,-3964.8430314265643,-12691.61042027349,18795.85033168709
2043,5137.4237867487345,-14423.722081712414,-3884.5925629689477,-13170.890857932622,18316.569894027958
2044,5065.288079490335,-14878.37725639184,-3804.522863148553,-13617.612040050053,17869.848711910527
2045,4985.072996846346,-15305.614565565214,-3718.124938181719,-14038.666506900583,17448.794245059995
2046,4910.390162851521,-15712.568040591696,-3626.255589864037,-14428.433467604202,17059.027284356376
2047,4837.852673711264,-16101.671724962645,-3528.338135040329,-14792.157186291708,16695.30356566887
2048,4765.440175691011,-16475.394420572142,-3423.3010389960473,-15133.255283877184,16354.205468083395
2049,4692.476239915208,-16835.92643292296,-3310.473654819485,-15453.923847827231,16033.536904133349
2050,4624.950977200729,-17188.184993383595,-3189.1108350748964,-15752.34485125775,15735.11590070283
