Year,Activity,Engine type,Energy intensity,Change in energy,Energy
2018,0.0,0.0,0.0,0.0,31487.35398867914
2019,525.0115618039043,-163.26693173323298,327.0522999804764,688.7969300511526,32176.150918730295
2020,-3593.713138712153,-426.38870728975166,-48.30311245737079,-4068.4049584592703,27418.949030219872
2021,687.4561287944791,-429.8191382184835,-221.01847580766204,36.61851476834431,31523.972503447487
2022,2453.222494793474,-480.6096831882994,-580.6204026091507,1391.9924089960427,32879.34639767519
2023,3173.4682596467273,-565.3825199211169,-1479.8168882304642,1128.2688514951567,32615.6228401743
2024,3802.1292959601965,-656.6078028171645,-2287.5149833345718,858.0065098084622,32345.360498487604
2025,4391.590929860496,-765.7893311239998,-3033.548699023593,592.2528997128996,32079.60688839204
2026,4690.772372406637,-880.4686476790567,-3631.477024167383,178.82670056022639,31666.180689239372
2027,5106.667978552475,-1021.3496899871147,-4221.690579783364,-136.3722912180124,31350.98169746113
2028,5487.422554509875,-1182.411771192574,-4763.345404718329,-458.33462140100727,31029.01936727814
2029,5856.579626513564,-1358.519164239909,-5267.4444375402445,-769.383975266567,30717.970013412574
2030,6185.997275763244,-1542.7856394983585,-5728.236848084515,-1085.0252118196327,30402.32877685951
2031,6474.342677027374,-1731.681056510754,-6136.042207069742,-1393.3805865531053,30093.973402126037
2032,6757.390476344592,-1923.14771674333,-6498.299121207644,-1664.056361606386,29823.29762707276
2033,7003.31234332597,-2117.0885583691093,-6811.418865070631,-1925.1950801137716,29562.158908565372
2034,7239.935750330847,-2314.964809762126,-7082.953449021954,-2157.9825084532076,29329.371480225935
2035,7461.6127898243585,-2518.763793539245,-7318.244113312956,-2375.3951170278206,29111.958871651324
2036,7661.00926383906,-2731.1818164939787,-7511.829735377903,-2582.0022880328233,28905.35170064632
2037,7837.988993668924,-2953.1594478446304,-7674.7029277769,-2789.8733819525887,28697.480606726556
2038,7999.296226996079,-3201.175698848313,-7801.441897436002,-3003.3213692882227,28484.032619390917
2039,8142.679796025666,-3475.7001746732994,-7895.671855742382,-3228.6922343900105,28258.661754289133
2040,8269.33500920062,-3776.4039735428064,-7956.482446850109,-3463.5514111922857,28023.80257748686
2041,8384.423436353023,-4103.982327536979,-7989.6120196933425,-3709.1709108772775,27778.183077801867
2042,8479.871334875685,-4457.82558132791,-7989.339251899219,-3967.293498351447,27520.060490327694
2043,8566.650872735383,-4837.223385477283,-7961.998239948949,-4232.5707526908145,27254.78323598833
2044,8647.418144976138,-5242.63185008392,-7909.163025250456,-4504.376730358251,26982.97725832089
2045,8704.84457725307,-5672.528687598395,-7833.79857379496,-4801.482684140279,26685.871304538865
2046,8765.124162807897,-6127.991067046699,-7734.862639566136,-5097.729543804912,26389.624444874233
2047,8820.27538863728,-6607.600668825717,-7616.945816352514,-5404.271096540935,26083.08289213821
2048,8867.13360480069,-7108.803751101172,-7481.794686407025,-5723.464832707487,25763.889155971654
2049,8904.434554432337,-7628.6893421506475,-7331.320152271103,-6055.574939989408,25431.779048689736
2050,8926.906154849923,-8158.860880035457,-7168.417816419843,-6400.372541605357,25086.981447073787
